"id","n","NNT","TYPE"
5,"500",7.75282181357007,"Unadjusted"
6,"500",7.16225165562914,"Unadjusted"
7,"500",8.38200999444753,"Unadjusted"
8,"500",5.9548743718593,"Unadjusted"
9,"500",6.18556701030928,"Unadjusted"
10,"500",6.94478240524099,"Unadjusted"
11,"500",7.30687318489835,"Unadjusted"
12,"500",NA,"Unadjusted"
13,"500",5.3609576427256,"Unadjusted"
14,"500",5.78360378951318,"Unadjusted"
15,"500",6.42031523642732,"Unadjusted"
16,"500",7.3993993993994,"Unadjusted"
17,"500",9.20908230842006,"Unadjusted"
18,"500",11.1751865671642,"Unadjusted"
19,"500",13.2561028770706,"Unadjusted"
20,"500",5.67098565478945,"Unadjusted"
21,"500",8.68098772480731,"Unadjusted"
22,"500",8.15843621399177,"Unadjusted"
23,"500",5.32010120397836,"Unadjusted"
24,"500",6.796875,"Unadjusted"
25,"500",12.646218487395,"Unadjusted"
26,"500",7.07577029133197,"Unadjusted"
27,"500",7.42547958681751,"Unadjusted"
28,"500",12.6551047120419,"Unadjusted"
29,"500",NA,"Unadjusted"
30,"500",10.7317073170732,"Unadjusted"
1,"1000",7.11179828734539,"Unadjusted"
2,"1000",7.05565397106584,"Unadjusted"
3,"1000",5.94872367343901,"Unadjusted"
4,"1000",5.73394495412844,"Unadjusted"
5,"1000",9.7981843014381,"Unadjusted"
6,"1000",10.4506944444444,"Unadjusted"
7,"1000",6.3551785434203,"Unadjusted"
8,"1000",11.1872871736663,"Unadjusted"
9,"1000",8.31510635320459,"Unadjusted"
10,"1000",8.37924040008393,"Unadjusted"
11,"1000",8.52164775115595,"Unadjusted"
12,"1000",7.60529801324503,"Unadjusted"
13,"1000",9.06073381950775,"Unadjusted"
14,"1000",8.17480684326711,"Unadjusted"
15,"1000",9.29703389830509,"Unadjusted"
16,"1000",11.1330343796711,"Unadjusted"
17,"1000",8.44569288389513,"Unadjusted"
18,"1000",9.15103211009174,"Unadjusted"
19,"1000",8.66651335574031,"Unadjusted"
20,"1000",10.4145511646166,"Unadjusted"
21,"1000",6.30129090522737,"Unadjusted"
22,"1000",6.38019630484988,"Unadjusted"
23,"1000",7.99198075380914,"Unadjusted"
24,"1000",9.83807829181494,"Unadjusted"
25,"1000",6.93183466279913,"Unadjusted"
26,"1000",NA,"Unadjusted"
27,"1000",7.10605697869284,"Unadjusted"
28,"1000",10.5535714285714,"Unadjusted"
29,"1000",11.0877953115023,"Unadjusted"
30,"1000",8.21917808219178,"Unadjusted"
1,"2000",7.11215092651281,"Unadjusted"
2,"2000",9.16103288186318,"Unadjusted"
3,"2000",8.86485340669279,"Unadjusted"
4,"2000",8.0093915748885,"Unadjusted"
5,"2000",8.45159404610257,"Unadjusted"
6,"2000",9.12532162857575,"Unadjusted"
7,"2000",10.5099640279831,"Unadjusted"
8,"2000",6.30390616818515,"Unadjusted"
9,"2000",8.0539811404278,"Unadjusted"
10,"2000",7.36439665471923,"Unadjusted"
11,"2000",6.33253403671436,"Unadjusted"
12,"2000",9.23970944309927,"Unadjusted"
13,"2000",9.64001057028733,"Unadjusted"
14,"2000",9.06056626219367,"Unadjusted"
15,"2000",8.80069126525252,"Unadjusted"
16,"2000",10.7281637717122,"Unadjusted"
17,"2000",13.0987047789192,"Unadjusted"
18,"2000",8.82149988906146,"Unadjusted"
19,"2000",6.77332923558337,"Unadjusted"
20,"2000",8.02437663440878,"Unadjusted"
21,"2000",6.87005417118093,"Unadjusted"
22,"2000",7.56309928125741,"Unadjusted"
23,"2000",9.03681532475307,"Unadjusted"
24,"2000",9.24946825837852,"Unadjusted"
25,"2000",10.2798774259448,"Unadjusted"
26,"2000",7.23005057126803,"Unadjusted"
27,"2000",9.22401585683111,"Unadjusted"
28,"2000",9.15947458270106,"Unadjusted"
29,"2000",7.28309617877647,"Unadjusted"
30,"2000",9.68060075093867,"Unadjusted"
1,"4000",9.20145162535712,"Unadjusted"
2,"4000",7.72051247788722,"Unadjusted"
3,"4000",8.64775569243324,"Unadjusted"
4,"4000",11.2384023099134,"Unadjusted"
5,"4000",9.33291888058904,"Unadjusted"
6,"4000",8.51538338771457,"Unadjusted"
7,"4000",8.77641723356009,"Unadjusted"
8,"4000",7.90446149239554,"Unadjusted"
9,"4000",7.75604939870191,"Unadjusted"
10,"4000",9.11658925207438,"Unadjusted"
11,"4000",7.85597381342062,"Unadjusted"
12,"4000",10.1618576908485,"Unadjusted"
13,"4000",7.78113657172754,"Unadjusted"
14,"4000",7.67483572969959,"Unadjusted"
15,"4000",7.95841561156929,"Unadjusted"
16,"4000",9.46444573412747,"Unadjusted"
17,"4000",7.26973824922822,"Unadjusted"
18,"4000",8.68022346368715,"Unadjusted"
19,"4000",7.71994164825665,"Unadjusted"
20,"4000",7.90922998470168,"Unadjusted"
21,"4000",7.69085181049609,"Unadjusted"
22,"4000",8.23055508402648,"Unadjusted"
23,"4000",9.52839928986037,"Unadjusted"
24,"4000",8.0239186764999,"Unadjusted"
25,"4000",8.12858872857685,"Unadjusted"
26,"4000",7.86680590081095,"Unadjusted"
27,"4000",8.68406408554438,"Unadjusted"
28,"4000",6.88043447006728,"Unadjusted"
29,"4000",9.81136484467961,"Unadjusted"
30,"4000",9.2910298650997,"Unadjusted"
