"id","n","NNT","TYPE"
25,"2000",NA,"Unadjusted"
26,"2000",NA,"Unadjusted"
27,"2000",NA,"Unadjusted"
28,"2000",NA,"Unadjusted"
29,"2000",NA,"Unadjusted"
30,"2000",NA,"Unadjusted"
31,"2000",NA,"Unadjusted"
32,"2000",NA,"Unadjusted"
33,"2000",NA,"Unadjusted"
34,"2000",NA,"Unadjusted"
35,"2000",NA,"Unadjusted"
36,"2000",NA,"Unadjusted"
37,"2000",NA,"Unadjusted"
38,"2000",NA,"Unadjusted"
39,"2000",NA,"Unadjusted"
40,"2000",NA,"Unadjusted"
41,"2000",NA,"Unadjusted"
42,"2000",NA,"Unadjusted"
43,"2000",NA,"Unadjusted"
44,"2000",NA,"Unadjusted"
45,"2000",NA,"Unadjusted"
46,"2000",NA,"Unadjusted"
47,"2000",NA,"Unadjusted"
48,"2000",NA,"Unadjusted"
49,"2000",NA,"Unadjusted"
50,"2000",NA,"Unadjusted"
1,"4000",NA,"Unadjusted"
2,"4000",NA,"Unadjusted"
3,"4000",NA,"Unadjusted"
4,"4000",NA,"Unadjusted"
5,"4000",NA,"Unadjusted"
6,"4000",NA,"Unadjusted"
7,"4000",NA,"Unadjusted"
8,"4000",NA,"Unadjusted"
9,"4000",NA,"Unadjusted"
10,"4000",NA,"Unadjusted"
11,"4000",NA,"Unadjusted"
12,"4000",NA,"Unadjusted"
13,"4000",NA,"Unadjusted"
14,"4000",NA,"Unadjusted"
15,"4000",NA,"Unadjusted"
16,"4000",NA,"Unadjusted"
17,"4000",NA,"Unadjusted"
18,"4000",NA,"Unadjusted"
19,"4000",NA,"Unadjusted"
20,"4000",NA,"Unadjusted"
21,"4000",NA,"Unadjusted"
22,"4000",NA,"Unadjusted"
23,"4000",NA,"Unadjusted"
24,"4000",NA,"Unadjusted"
25,"4000",NA,"Unadjusted"
26,"4000",NA,"Unadjusted"
27,"4000",NA,"Unadjusted"
28,"4000",NA,"Unadjusted"
29,"4000",NA,"Unadjusted"
30,"4000",NA,"Unadjusted"
31,"4000",NA,"Unadjusted"
32,"4000",NA,"Unadjusted"
33,"4000",NA,"Unadjusted"
34,"4000",NA,"Unadjusted"
35,"4000",NA,"Unadjusted"
36,"4000",-24.308062767111,"Unadjusted"
37,"4000",NA,"Unadjusted"
38,"4000",NA,"Unadjusted"
39,"4000",NA,"Unadjusted"
40,"4000",NA,"Unadjusted"
41,"4000",NA,"Unadjusted"
42,"4000",NA,"Unadjusted"
43,"4000",NA,"Unadjusted"
44,"4000",NA,"Unadjusted"
45,"4000",NA,"Unadjusted"
46,"4000",NA,"Unadjusted"
47,"4000",NA,"Unadjusted"
48,"4000",NA,"Unadjusted"
49,"4000",NA,"Unadjusted"
50,"4000",NA,"Unadjusted"
